v1,v2
ham,Hey there! How are you doing?
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/123456 to claim now.
ham,Are we still meeting at 6 today?
ham,Don't forget to bring your notebook.
spam,Get a free ringtone now! Text WIN to 12345.
spam,URGENT! Your account has been suspended. Click here to verify: www.fakeurl.com
ham,Let's have lunch tomorrow?
ham,Meeting has been rescheduled to 3 PM.
spam,You have been selected for a cash prize. Call now!
ham,Happy birthday! Have a great day!
